;rank;address;class;comments
0;49642,3;;;
1;44207,05;;;
2;41155,01;;;
3;40637,99;;;
4;40398,61;;;
5;38461,82;;;
6;38190,47;;;
7;37887,44;;;
8;37662,27;;;
9;37104,26;;;
10;36657,67;;;
11;36424,37;;;
12;33551,09;;;
13;32243,64;;;
14;32053,46;;;
15;31885,82;;;
16;29465,8;;;
17;29143,44;;;
18;29001,11;;;
19;28439,1;;;
20;27602,61;;;
21;25187,03;;;
22;24919,57;;;
23;24177,7;;;
24;23350,7;;;
25;23349,69;;;
26;23237,83;;;
27;23194,94;;;
28;22881,21;;;
29;22432,25;;;
30;21308,42;;;
31;20675,71;;;
32;20203,21;;;
33;20052,63;;;
34;19623,15;;;
35;19495,83;;;
36;19423,08;;;
37;18683,0;;;
38;18632,76;;;
39;18137,4;;;
40;17726,8;;;
41;17620,22;;;
42;17413,27;;;
43;15471,02;;;
