;rank;address;class;comments
0;81667,17;;;
1;74566,67;;;
2;68510,25;;;
3;63907,59;;;
4;57908,02;;;
5;54664,96;;;
6;53364,68;;;
7;50277,96;;;
8;49733,25;;;
9;48502,35;;;
10;48497,26;;;
11;43163,67;;;
12;43081,28;;;
13;41597,78;;;
14;40421,0;;;
15;40021,51;;;
16;38673,86;;;
17;38567,89;;;
18;37125,57;;;
19;36177,44;;;
20;35109,85;;;
21;34784,9;;;
22;31530,51;;;
23;31520,4;;;
24;30822,88;;;
25;30775,11;;;
26;30613,18;;;
27;30537,48;;;
28;29454,66;;;
29;29121,14;;;
30;26723,81;;;
31;26635,61;;;
32;26450,16;;;
33;26255,19;;;
34;25812,9;;;
35;25651,57;;;
36;24703,67;;;
37;24626,56;;;
38;23858,92;;;
39;23179,01;;;
40;22934,45;;;
41;22431,82;;;
42;21499,5;;;
43;21272,39;;;
44;20807,59;;;
45;20386,67;;;
46;20125,44;;;
47;19514,84;;;
48;18137,81;;;
49;17806,65;;;
50;17492,67;;;
51;17086,76;;;
52;16804,93;;;
53;16398,36;;;
54;16379,82;;;
55;15709,85;;;
56;15645,26;;;
57;15473,47;;;
58;15388,36;;;
