;rank;address;class;comments
0;52991,31;;;
1;52710,29;;;
2;49734,04;;;
3;48182,96;;;
4;45343,07;;;
5;38936,05;;;
6;38696,11;;;
7;38362,49;;;
8;37888,31;;;
9;37544,88;;;
10;36788,83;;;
11;35409,94;;;
12;34582,3;;;
13;34524,9;;;
14;33470,43;;;
15;33033,29;;;
16;32804,57;;;
17;32535,89;;;
18;32436,84;;;
19;31923,02;;;
20;31851,91;;;
21;31627,28;;;
22;30904,88;;;
23;30779,1;;;
24;30347,49;;;
25;30190,51;;;
26;29964,47;;;
27;29917,3;;;
28;29758,47;;;
29;29362,45;;;
30;28513,21;;;
31;28320,37;;;
32;27702,8;;;
33;27330,2;;;
34;26936,37;;;
35;26935,75;;;
36;26576,89;;;
37;26370,19;;;
38;26320,2;;;
39;26262,67;;;
40;26168,19;;;
41;25946,93;;;
42;25901,52;;;
43;25884,91;;;
44;25603,51;;;
45;25555,41;;;
46;25352,8;;;
47;25173,65;;;
48;24599,95;;;
49;24472,47;;;
50;24221,62;;;
51;24068,04;;;
52;24028,22;;;
53;23885,24;;;
54;23061,15;;;
55;22827,84;;;
56;22295,75;;;
57;22000,16;;;
58;21983,38;;;
59;21956,89;;;
60;21955,34;;;
61;21774,13;;;
62;21603,81;;;
63;20824,7;;;
64;20731,35;;;
65;20587,22;;;
66;20230,78;;;
67;19911,16;;;
68;19807,96;;;
69;19266,69;;;
70;19235,27;;;
71;19175,94;;;
72;18983,16;;;
73;18731,18;;;
74;18641,7;;;
75;18424,64;;;
76;18416,83;;;
77;18111,0;;;
78;17993,27;;;
79;17841,97;;;
80;17699,8;;;
81;17687,43;;;
82;17227,81;;;
83;17156,99;;;
84;16889,51;;;
85;16711,66;;;
86;16542,29;;;
87;16509,8;;;
88;16460,58;;;
89;16162,35;;;
90;16078,2;;;
91;15847,31;;;
92;15841,39;;;
93;15795,32;;;
94;15785,83;;;
95;15751,98;;;
96;15591,59;;;
97;15384,26;;;
