;rank;address;class;comments
0;92787,43;;;
1;80551,58;;;
2;69639,76;;;
3;69491,41;;;
4;64174,79;;;
5;59737,95;;;
6;58328,19;;;
7;57287,41;;;
8;54099,16;;;
9;53498,67;;;
10;52856,33;;;
11;50931,38;;;
12;49215,97;;;
13;46295,95;;;
14;46103,62;;;
15;45054,74;;;
16;38880,79;;;
17;35497,33;;;
18;34040,78;;;
19;31192,52;;;
20;30382,59;;;
21;30255,06;;;
22;28382,77;;;
23;26653,72;;;
24;25081,45;;;
25;23889,31;;;
26;22912,63;;;
27;22771,4;;;
28;22661,41;;;
29;21966,11;;;
30;21336,42;;;
31;20199,8;;;
32;19413,27;;;
33;18968,01;;;
34;18770,33;;;
35;16936,76;;;
36;16068,82;;;
37;15557,83;;;
